"ID"	"Acc"	"best.pop"
"mtCR.mix-1"	"SER10-0188"	"mtCR.sound"
"mtCR.mix-1"	"SER10-0191"	"mtCR.sound"
"mtCR.mix-1"	"SER10-0221"	"mtCR.sound"
"mtCR.mix-1"	"SER10-0231"	"mtCR.sound"
"mtCR.mix-1"	"SER10-0241"	"mtCR.sound"
"mtCR.mix-1"	"SER10-0246"	"mtCR.sound"
"mtCR.mix-1"	"SER10-0254"	"mtCR.sound"
"mtCR.mix-1"	"SER10-0267"	"mtCR.sound"
"mtCR.mix-1"	"SER10-0339"	"mtCR.sound"
"mtCR.mix-1"	"SER10-0340"	"mtCR.sound"
"mtCR.mix-1"	"SER10-0462"	"mtCR.sound"
"mtCR.mix-1"	"SER10-0463"	"mtCR.sound"
"mtCR.mix-1"	"SER10-0469"	"mtCR.sound"
"mtCR.mix-1"	"SER10-0470"	"mtCR.sound"
"mtCR.mix-1"	"SER10-0507"	"mtCR.sound"
"mtCR.mix-1"	"SER10-0510"	"mtCR.sound"
"mtCR.mix-1"	"SER10-0514"	"mtCR.sound"
"mtCR.mix-1"	"SER10-0546"	"mtCR.sound"
"mtCR.mix-1"	"SER10-0566"	"mtCR.sound"
"mtCR.mix-1"	"SER10-0693"	"mtCR.sound"
"mtCR.mix-1"	"SER10-0730"	"mtCR.sound"
"mtCR.mix-1"	"SER10-0773"	"mtCR.sound"
"mtCR.mix-1"	"SER10-0775"	"mtCR.sound"
"mtCR.mix-1"	"SER10-0785"	"mtCR.sound"
"mtCR.mix-1"	"SER11-0006"	"mtCR.sound"
"mtCR.mix-1"	"SER11-0038"	"mtCR.sound"
"mtCR.mix-1"	"SER11-0039"	"mtCR.sound"
"mtCR.mix-1"	"SER11-0058"	"mtCR.sound"
"mtCR.mix-1"	"SER11-0086"	"mtCR.sound"
"mtCR.mix-1"	"SER11-0087"	"mtCR.sound"
"mtCR.mix-1"	"SER11-0094"	"mtCR.sound"
"mtCR.mix-1"	"SER11-0119"	"mtCR.sound"
"mtCR.mix-1"	"SER11-0126"	"mtCR.sound"
"mtCR.mix-1"	"SER11-0128"	"mtCR.sound"
"mtCR.mix-1"	"SER11-0139"	"mtCR.sound"
"mtCR.mix-1"	"SER11-0142"	"mtCR.sound"
"mtCR.mix-1"	"SER11-0413"	"mtCR.sound"
"mtCR.mix-1"	"SER11-0485"	"mtCR.sound"
"mtCR.mix-1"	"SER11-0565"	"mtCR.sound"
"mtCR.mix-1"	"SER11-0566"	"mtCR.sound"
"mtCR.mix-1"	"SER11-0569"	"mtCR.sound"
"mtCR.mix-1"	"SER11-0821"	"mtCR.sound"
"mtCR.mix-1"	"SER11-0881"	"mtCR.sound"
"mtCR.mix-1"	"SER11-0948"	"mtCR.sound"
"mtCR.mix-1"	"SER11-1061"	"mtCR.sound"
"mtCR.mix-1"	"SER11-1081"	"mtCR.sound"
"mtCR.mix-1"	"SER11-1102"	"mtCR.sound"
"mtCR.mix-1"	"SER11-1281"	"mtCR.sound"
"mtCR.mix-1"	"SER11-1482"	"mtCR.sound"
"mtCR.mix-1"	"SER11-1922"	"mtCR.sound"
"mtCR.mix-1"	"SER11-2435"	"mtCR.sound"
"mtCR.mix-1"	"SER11-2459"	"mtCR.sound"
"mtCR.mix-1"	"SER11-2547"	"mtCR.sound"
"mtCR.mix-1"	"SER12-0274"	"mtCR.sound"
"mtCR.mix-1"	"SER12-0276"	"mtCR.sound"
"mtCR.mix-1"	"SER12-0654"	"mtCR.sound"
"mtCR.mix-1"	"SER13-0024"	"mtCR.sound"
"mtCR.mix-1"	"SER13-0041"	"mtCR.sound"
"mtCR.mix-1"	"SER13-0333"	"mtCR.sound"
"mtCR.mix-1"	"SER13-0408"	"mtCR.sound"
"mtCR.mix-1"	"SER13-0527"	"mtCR.sound"
"mtCR.mix-1"	"SER14-00138"	"mtCR.sound"
"mtCR.mix-1"	"SER14-00301"	"mtCR.sound"
"mtCR.mix-1"	"SER14-00306"	"mtCR.sound"
"mtCR.mix-1"	"SER14-00311"	"mtCR.sound"
"mtCR.mix-1"	"SER14-00503"	"mtCR.sound"
"mtCR.mix-1"	"SER14-00568"	"mtCR.sound"
"mtCR.mix-1"	"SER15-00118"	"mtCR.sound"
"mtCR.mix-1"	"SER15-00135"	"mtCR.sound"
"mtCR.mix-1"	"SER16-00008"	"mtCR.sound"
"mtCR.mix-1"	"SER16-00018"	"mtCR.sound"
"mtCR.mix-1"	"SER16-00020"	"mtCR.sound"
"mtCR.mix-1"	"SER16-00026"	"mtCR.sound"
"mtCR.mix-1"	"SER16-00038"	"mtCR.sound"
"mtCR.mix-1"	"SER16-00042"	"mtCR.sound"
"mtCR.mix-1"	"SER16-00054"	"mtCR.sound"
"mtCR.mix-1"	"SER16-00055"	"mtCR.sound"
